Element Code,System,Table,Element,System Type ,Level ,HIV,Program Area,Goal ,Potential Overlap (HIV),Goal1,Goal2,Goal3,Array
1699,HMIS,DHIS,CC PROBLEM VISIT <30,Electronic,District,Y,CC,3,Y,3,,,[3]
1700,HMIS,DHIS,CC PROBLEM VISIT >45,Electronic,District,Y,CC,3,Y,3,,,[3]
1701,HMIS,DHIS,CC PROBLEM VISIT 30 45,Electronic,District,Y,CC,3,Y,3,,,[3]
1702,HMIS,DHIS,CC PROBLEM VISIT HIV,Electronic,District,Y,CC,3,Y,3,,,[3]
1703,HMIS,DHIS,CC PROBLEM VISIT HIV+,Electronic,District,Y,CC,3,Y,3,,,[3]
1704,HMIS,DHIS,CC PROBLEM VISIT UNKNOWN,Electronic,District,Y,CC,3,Y,3,,,[3]
1705,HMIS,DHIS,CC REFERRAL >45,Electronic,District,Y,CC,3,Y,3,,,[3]
1706,HMIS,DHIS,CC REFERRAL LARGE LESION <30,Electronic,District,Y,CC,3,Y,3,,,[3]
1707,HMIS,DHIS,CC REFERRAL LARGE LESION >45,Electronic,District,Y,CC,3,Y,3,,,[3]
1708,HMIS,DHIS,CC REFERRAL LARGE LESION 30 45,Electronic,District,Y,CC,3,Y,3,,,[3]
1709,HMIS,DHIS,CC REFERRAL LARGE LESION HIV,Electronic,District,Y,CC,3,Y,3,,,[3]
1710,HMIS,DHIS,CC REFERRAL LARGE LESION HIV+,Electronic,District,Y,CC,3,Y,3,,,[3]
1711,HMIS,DHIS,CC REFERRAL LARGE LESION UNKNOWN,Electronic,District,Y,CC,3,Y,3,,,[3]
1712,HMIS,DHIS,CC REFERRAL OTHER GYN <30,Electronic,District,Y,CC,3,Y,3,,,[3]
1713,HMIS,DHIS,CC REFERRAL OTHER GYN >45,Electronic,District,Y,CC,3,Y,3,,,[3]
1714,HMIS,DHIS,CC REFERRAL OTHER GYN 30 45,Electronic,District,Y,CC,3,Y,3,,,[3]
1715,HMIS,DHIS,CC REFERRAL OTHER GYN HIV,Electronic,District,Y,CC,3,Y,3,,,[3]
1716,HMIS,DHIS,CC REFERRAL OTHER GYN HIV+,Electronic,District,Y,CC,3,Y,3,,,[3]
1717,HMIS,DHIS,CC REFERRAL OTHER GYN UNKNOWN,Electronic,District,Y,CC,3,Y,3,,,[3]
1718,HMIS,DHIS,CC REFERRAL SUSPECT CANCER <30,Electronic,District,Y,CC,3,Y,3,,,[3]
1719,HMIS,DHIS,CC REFERRAL SUSPECT CANCER >45,Electronic,District,Y,CC,3,Y,3,,,[3]
1720,HMIS,DHIS,CC REFERRAL SUSPECT CANCER 30 45,Electronic,District,Y,CC,3,Y,3,,,[3]
1721,HMIS,DHIS,CC REFERRAL SUSPECT CANCER HIV,Electronic,District,Y,CC,3,Y,3,,,[3]
1722,HMIS,DHIS,CC REFERRAL SUSPECT CANCER HIV+,Electronic,District,Y,CC,3,Y,3,,,[3]
1723,HMIS,DHIS,CC REFERRAL SUSPECT CANCER UNKNOWN,Electronic,District,Y,CC,3,Y,3,,,[3]
1724,HMIS,DHIS,CHICKEN POX ADMISSION,Electronic,District,N,,,,N,,,[N]
1725,HMIS,DHIS,CHICKEN POX INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1726,HMIS,DHIS,CHICKEN POX NEW,Electronic,District,N,,,,N,,,[N]
1727,HMIS,DHIS,CHOLERA ADMISSION,Electronic,District,N,,,,N,,,[N]
1728,HMIS,DHIS,CHOLERA UNDER 5 YEARS ADMISSION,Electronic,District,N,,,,N,,,[N]
1729,HMIS,DHIS,CHOLERA UNDER 5 YEARS INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1730,HMIS,DHIS,CHOLERA UNDER 5 YEARS NEW,Electronic,District,N,,,,N,,,[N]
1731,HMIS,DHIS,CHRONIC PSYCHIATRIC DISORDER ADMISSION,Electronic,District,N,,,,N,,,[N]
1732,HMIS,DHIS,CHRONIC PSYCHIATRIC DISORDER INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1733,HMIS,DHIS,CHRONIC PSYCHIATRIC DISORDER NEW,Electronic,District,N,,,,N,,,[N]
1734,HMIS,DHIS,CLINICAL OFFICERS IN POST,Electronic,District,N,,,,N,,,[N]
1735,HMIS,DHIS,COMM NURSES IN POSTS,Electronic,District,N,,,,N,,,[N]
1736,HMIS,DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS ANC PMTC,Electronic,District,Y,NUTRITION,3,Y,3,,,[3]
1737,HMIS,DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS OPD,Electronic,District,Y,NUTRITION,3,Y,3,,,[3]
1738,HMIS,DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS OTHER,Electronic,District,Y,NUTRITION,3,Y,3,,,[3]
1739,HMIS,DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS PRE ART ART,Electronic,District,Y,NUTRITION,3,Y,3,,,[3]
1740,HMIS,DHIS,COUNT  OF THOSE ASSESSED # WITH NORMAL NUTRITIONAL STATUS TB,Electronic,District,Y,NUTRITION,3,Y,3,,,[3]
1741,HMIS,DHIS,CS AIR WAY BREATHING,Electronic,District,N,,,,N,,,[N]
1742,HMIS,DHIS,CS COMA,Electronic,District,N,,,,N,,,[N]
1743,HMIS,DHIS,CS CONVULSIONS,Electronic,District,N,,,,N,,,[N]
1744,HMIS,DHIS,CS DIARRHOEA,Electronic,District,N,,,,N,,,[N]
1745,HMIS,DHIS,CS DIARRHOEA ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1746,HMIS,DHIS,CS MALARIA,Electronic,District,N,,,,N,,,[N]
1747,HMIS,DHIS,CS MALARIA ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1748,HMIS,DHIS,CS MALNUTRITION,Electronic,District,N,,,,N,,,[N]
1749,HMIS,DHIS,CS MALNUTRITION ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1750,HMIS,DHIS,CS MENINGITIS,Electronic,District,N,,,,N,,,[N]
1751,HMIS,DHIS,CS MENINGITIS ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1752,HMIS,DHIS,CS N SEPSIS,Electronic,District,N,,,,N,,,[N]
1753,HMIS,DHIS,CS NEONATAL SEPSIS ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1754,HMIS,DHIS,CS OTHERS,Electronic,District,N,,,,N,,,[N]
1755,HMIS,DHIS,CS OTHERS ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1756,HMIS,DHIS,CS PNEUMONIA,Electronic,District,N,,,,N,,,[N]
1757,HMIS,DHIS,CS PNEUMONIA ADMISSIONS,Electronic,District,N,,,,N,,,[N]
1758,HMIS,DHIS,CS PROPORTION OF DEATHS WITHIN 24 HOURS,Electronic,District,N,,,,N,,,[N]
1759,HMIS,DHIS,CS SEVERE DEHYDRATION,Electronic,District,N,,,,N,,,[N]
1760,HMIS,DHIS,CS SHOCK,Electronic,District,N,,,,N,,,[N]
1761,HMIS,DHIS,CSB LIKUNI PHALA DELIVERIES RECEIVED IN THE MONTH,Electronic,District,N,,,,N,,,[N]
1762,HMIS,DHIS,CSB LIKUNI PHALA PACKAGING AND UNIT,Electronic,District,N,,,,N,,,[N]
1763,HMIS,DHIS,CSB LIKUNI PHALA QUANTITY DISTRIBUTED TO BENEFICIARIES,Electronic,District,N,,,,N,,,[N]
1764,HMIS,DHIS,CSB LIKUNI PHALA QUANTITY LOST,Electronic,District,N,,,,N,,,[N]
1765,HMIS,DHIS,CSB LIKUNI PHALA QUANTITY USED FOR COOKING DEMONSTRATION,Electronic,District,N,,,,N,,,[N]
1766,HMIS,DHIS,CSB LIKUNI PHALA REQUEST FOR THE FOLLOWING MONTH,Electronic,District,N,,,,N,,,[N]
1767,HMIS,DHIS,CSB LIKUNI PHALA STOCK ON THE FIRST DAY OF THE MONTH,Electronic,District,N,,,,N,,,[N]
1768,HMIS,DHIS,CSB LIKUNI PHALA STOCK ON THE LAST DAY OF THE MONTH,Electronic,District,N,,,,N,,,[N]
1769,HMIS,DHIS,CSB++ DELIVERIES RECEIVED IN THE MONTH,Electronic,District,N,,,,N,,,[N]
1770,HMIS,DHIS,CSB++ PACKAGING AND UNITS,Electronic,District,N,,,,N,,,[N]
1771,HMIS,DHIS,CSB++ QUANTITY DISTRIBUTED TO BENEFICIARIES,Electronic,District,N,,,,N,,,[N]
1772,HMIS,DHIS,CSB++ QUANTITY LOST,Electronic,District,N,,,,N,,,[N]
1773,HMIS,DHIS,CSB++ QUANTITY USED FOR COOKING DEMONSTRATION,Electronic,District,N,,,,N,,,[N]
1774,HMIS,DHIS,CSB++ REQUEST FOR THE FOLLOWING MONTH,Electronic,District,N,,,,N,,,[N]
1775,HMIS,DHIS,CSB++ STOCK ON THE FIRST DAY OF THE MONTH,Electronic,District,N,,,,N,,,[N]
1776,HMIS,DHIS,CSB++ STOCK ON THE LAST DAY OF THE MONTH,Electronic,District,N,,,,N,,,[N]
1777,HMIS,DHIS,CUMULATIVE ACTUAL EXPENDITURE PER SUB PROGRAMME TO DATE,Electronic,District,N,,,,N,,,[N]
1778,HMIS,DHIS,CUMULATIVE DRUG BUDGET,Electronic,District,Y,DRUGS,9,Y,9,,,[9]
1779,HMIS,DHIS,CUMULATIVE DRUG EXPENDITURE,Electronic,District,Y,DRUGS,9,Y,9,,,[9]
1780,HMIS,DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE ANC PMTC,Electronic,District,Y,NUTRITION,3,N,3,,,[3]
1781,HMIS,DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE OPD,Electronic,District,Y,NUTRITION,3,N,3,,,[3]
1782,HMIS,DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE OTHER,Electronic,District,Y,NUTRITION,3,N,3,,,[3]
1783,HMIS,DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE PRE ART ART,Electronic,District,Y,NUTRITION,3,N,3,,,[3]
1784,HMIS,DHIS,D  OF THOSE ASSESSED # WITH OVERWEIGHT OBESE TB,Electronic,District,Y,NUTRITION,3,N,3,,,[3]
1785,HMIS,DHIS,DELIVERY BY TRAINED TBA,Electronic,District,N,,,,N,,,[N]
1786,HMIS,DHIS,DENTAL DECAY ADMISSION,Electronic,District,N,,,,N,,,[N]
1787,HMIS,DHIS,DENTAL DECAY INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1788,HMIS,DHIS,DENTAL DECAY NEW,Electronic,District,N,,,,N,,,[N]
1789,HMIS,DHIS,DENTAL SURGEON,Electronic,District,N,,,,N,,,[N]
1790,HMIS,DHIS,DERMATOLOGIST,Electronic,District,N,,,,N,,,[N]
1791,HMIS,DHIS,DIABETES # OF COMMUNITY MEETINGS COMMEMORATION DAYS,Electronic,District,N,,,,N,,,[N]
1792,HMIS,DHIS,DIABETES # OF FILM SHOWS,Electronic,District,N,,,,N,,,[N]
1793,HMIS,DHIS,DIABETES # OF INTERACTIVE DRAMA SESSIONS,Electronic,District,N,,,,N,,,[N]
1794,HMIS,DHIS,DIABETES # OF ROAD SHOWS,Electronic,District,N,,,,N,,,[N]
1795,HMIS,DHIS,DIABETES DISTRICT HOSPITAL,Electronic,District,N,,,,N,,,[N]
1796,HMIS,DHIS,DIABETES FLIPCHART,Electronic,District,N,,,,N,,,[N]
1797,HMIS,DHIS,DIABETES HEALTH CENTRE,Electronic,District,N,,,,N,,,[N]
1798,HMIS,DHIS,DIABETES HEALTH POST,Electronic,District,N,,,,N,,,[N]
1799,HMIS,DHIS,DIABETES NONE,Electronic,District,N,,,,N,,,[N]
1800,HMIS,DHIS,DIABETES OTHER,Electronic,District,N,,,,N,,,[N]
1801,HMIS,DHIS,DIABETES POSTERS,Electronic,District,N,,,,N,,,[N]
1802,HMIS,DHIS,DIABETES RURAL COMM HOSP,Electronic,District,N,,,,N,,,[N]
1803,HMIS,DHIS,DIABETES TOTAL PROVIDED IN THIS QUARTER,Electronic,District,N,,,,N,,,[N]
1804,HMIS,DHIS,DIABETES TV DVDS,Electronic,District,N,,,,N,,,[N]
1805,HMIS,DHIS,DIARRHOEA DISEASES  NON BLOODY  ADMISSION,Electronic,District,N,,,,N,,,[N]
1806,HMIS,DHIS,DIARRHOEA DISEASES  NON BLOODY  INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1807,HMIS,DHIS,DIARRHOEA DISEASES  NON BLOODY  UNDER 5 YEARS ADMISSION,Electronic,District,N,,,,N,,,[N]
1808,HMIS,DHIS,DIARRHOEA NON BLOODY 5 YEARS AND OLDER NEW,Electronic,District,N,,,,N,,,[N]
1809,HMIS,DHIS,DIPHTHERIA ADMISSION,Electronic,District,N,,,,N,,,[N]
1810,HMIS,DHIS,DIPHTHERIA INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1811,HMIS,DHIS,DIPHTHERIA NEW,Electronic,District,N,,,,N,,,[N]
1812,HMIS,DHIS,DISABILITY AND MENTAL ILLNESS DISTRICT HOSPITAL,Electronic,District,N,,,,N,,,[N]
1813,HMIS,DHIS,DISABILITY AND MENTAL ILLNESS HEALTH CENTRE,Electronic,District,N,,,,N,,,[N]
1814,HMIS,DHIS,DISABILITY AND MENTAL ILLNESS HEALTH POST,Electronic,District,N,,,,N,,,[N]
1815,HMIS,DHIS,DISABILITY AND MENTAL ILLNESS OTHER,Electronic,District,N,,,,N,,,[N]
1816,HMIS,DHIS,DISABILITY AND MENTAL ILLNESS RURAL COMM HOSP,Electronic,District,N,,,,N,,,[N]
1817,HMIS,DHIS,DISABILITY AND MENTAL ILLNESS TOTAL# PROVIDED IN THIS QUARTER,Electronic,District,N,,,,N,,,[N]
1818,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES # OF COMMUNITY MEETINGS COMMEMORATION DAYS,Electronic,District,N,,,,N,,,[N]
1819,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES # OF FILM SHOWS,Electronic,District,N,,,,N,,,[N]
1820,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES # OF INTERACTIVE DRAMA SESSIONS,Electronic,District,N,,,,N,,,[N]
1821,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES # OF ROAD SHOWS,Electronic,District,N,,,,N,,,[N]
1822,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES DISTRICT HOSPITAL,Electronic,District,N,,,,N,,,[N]
1823,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES FLIPCHART,Electronic,District,N,,,,N,,,[N]
1824,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES HEALTH CENTRE,Electronic,District,N,,,,N,,,[N]
1825,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES HEALTH POST,Electronic,District,N,,,,N,,,[N]
1826,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES LEAFLETS,Electronic,District,N,,,,N,,,[N]
1827,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES NONE,Electronic,District,N,,,,N,,,[N]
1828,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES OTHER,Electronic,District,N,,,,N,,,[N]
1829,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES POSTERS,Electronic,District,N,,,,N,,,[N]
1830,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES RURAL COMM HOSP,Electronic,District,N,,,,N,,,[N]
1831,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES TOTAL PROVIDED IN THIS QUARTER,Electronic,District,N,,,,N,,,[N]
1832,HMIS,DHIS,DISABILITY AND MENTAL ILLNESSES TV DVDS,Electronic,District,N,,,,N,,,[N]
1833,HMIS,DHIS,DOCTORS IN POSTS,Electronic,District,N,,,,N,,,[N]
1834,HMIS,DHIS,DT ABSCESS,Electronic,District,N,,,,N,,,[N]
1835,HMIS,DHIS,DT BURKITTS LYMPHOMA,Electronic,District,N,,,,N,,,[N]
1836,HMIS,DHIS,DT CANCRUM ORIS NOMA,Electronic,District,N,,,,N,,,[N]
1837,HMIS,DHIS,DT CELLULITIS,Electronic,District,N,,,,N,,,[N]
1838,HMIS,DHIS,DT CLEFT PALATE & LIP,Electronic,District,N,,,,N,,,[N]
1839,HMIS,DHIS,DT CROWNS AND BRIDGES,Electronic,District,N,,,,N,,,[N]
1840,HMIS,DHIS,DT GINGIVAL EPULIS,Electronic,District,N,,,,N,,,[N]
1841,HMIS,DHIS,DT LUDWIGS ANGINA,Electronic,District,N,,,,N,,,[N]
1842,HMIS,DHIS,DT NUMBER OF DENTAL CARIES CASES,Electronic,District,N,,,,N,,,[N]
1843,HMIS,DHIS,DT NUMBER OF PERIODONTAL CASES,Electronic,District,N,,,,N,,,[N]
1844,HMIS,DHIS,DT NUMBER OF TOOTH EXTRACTIONS,Electronic,District,N,,,,N,,,[N]
1845,HMIS,DHIS,DT NUMBER OF TOOTH FEELINGS,Electronic,District,N,,,,N,,,[N]
1846,HMIS,DHIS,DT ORTHODONTICS,Electronic,District,N,,,,N,,,[N]
1847,HMIS,DHIS,DT OTHER DENTAL CONDITIONS,Electronic,District,N,,,,N,,,[N]
1848,HMIS,DHIS,DT PAROTITIS,Electronic,District,N,,,,N,,,[N]
1849,HMIS,DHIS,DT PATIENTS REFERRED IN,Electronic,District,N,,,,N,,,[N]
1850,HMIS,DHIS,DT PATIENTS REFERRED OUT,Electronic,District,N,,,,N,,,[N]
1851,HMIS,DHIS,DT SCALING POLISHING,Electronic,District,N,,,,N,,,[N]
1852,HMIS,DHIS,DT TB ADENITIS,Electronic,District,N,,,,N,,,[N]
1853,HMIS,DHIS,DT TONSILITIS,Electronic,District,N,,,,N,,,[N]
1854,HMIS,DHIS,DT TOTAL NUMBER OF PATIENTS ADMITTED,Electronic,District,N,,,,N,,,[N]
1855,HMIS,DHIS,DT TOTAL NUMBER OF PATIENTS SEEN,Electronic,District,N,,,,N,,,[N]
1856,HMIS,DHIS,DT TRAUMA CASES AVULSION,Electronic,District,N,,,,N,,,[N]
1857,HMIS,DHIS,DT TRAUMA CASES HARD TISSUE,Electronic,District,N,,,,N,,,[N]
1858,HMIS,DHIS,DT TRAUMA CASES MAXILLA,Electronic,District,N,,,,N,,,[N]
1859,HMIS,DHIS,DT TRAUMA CASES SOFT TISSUE,Electronic,District,N,,,,N,,,[N]
1860,HMIS,DHIS,DT TRAUMA CASES TEETH,Electronic,District,N,,,,N,,,[N]
1861,HMIS,DHIS,DYSENTERY ADMISSION,Electronic,District,N,,,,N,,,[N]
1862,HMIS,DHIS,DYSENTERY UNDER 5 YEARS ADMISSION,Electronic,District,N,,,,N,,,[N]
1863,HMIS,DHIS,DYSENTERY UNDER 5 YEARS INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1864,HMIS,DHIS,EAR INFECTION ADMISSION,Electronic,District,N,,,,N,,,[N]
1865,HMIS,DHIS,EAR INFECTION INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1866,HMIS,DHIS,EBOLA ADMISSION,Electronic,District,N,,,,N,,,[N]
1867,HMIS,DHIS,EBOLA INPATIENT DEATH,Electronic,District,N,,,,N,,,[N]
1868,HMIS,DHIS,EC CONFIRMED INFECTED,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1869,HMIS,DHIS,EC CONFIRMED UNINFECTED,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1870,HMIS,DHIS,EC CONTINUE FOLLOW UP,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1871,HMIS,DHIS,EC DEFAULTED,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1872,HMIS,DHIS,EC DIED,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1873,HMIS,DHIS,EC DISCHARGED UNINFECTED,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1874,HMIS,DHIS,EC NOT CONF NOT ELIGIBLE FOR ART,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1875,HMIS,DHIS,EC NOT CONFIRMED PSHD ÀART,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1876,HMIS,DHIS,EC NOT ON CPT,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1877,HMIS,DHIS,EC ON CPT,Electronic,District,Y,INFECTION,34,N,3,4,,"[3,4]"
1878,HMIS,DHIS,EC STARTED ART,Electronic,District,Y,INFECTION,34,N,3,4,,"[3,4]"
1879,HMIS,DHIS,EC TOTAL REGISTERED IN BIRTH COHORT,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1880,HMIS,DHIS,EC TRANSFERRED OUT,Electronic,District,Y,INFECTION,3,N,3,,,[3]
1881,HMIS,DHIS,EH AIR POLLUTION HOUSEHOLDS WITH SATISFACTORY MEASURES,Electronic,District,N,,,,N,,,[N]
1882,HMIS,DHIS,EH AIR POLLUTION NUMBER OF HOUSEHOLDS,Electronic,District,N,,,,N,,,[N]
1883,HMIS,DHIS,EH ATTACK RATE,Electronic,District,N,,,,N,,,[N]
1884,HMIS,DHIS,EH BOREHOLES IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1885,HMIS,DHIS,EH BOREHOLES TESTED FOR FAECO CONTAMINATION,Electronic,District,N,,,,N,,,[N]
1886,HMIS,DHIS,EH BOREHOLES TESTED NEGATIVE,Electronic,District,N,,,,N,,,[N]
1887,HMIS,DHIS,EH CASE FATALITY RATE,Electronic,District,N,,,,N,,,[N]
1888,HMIS,DHIS,EH CASES IN OUTBREAK,Electronic,District,N,,,,N,,,[N]
1889,HMIS,DHIS,EH DEATHS,Electronic,District,N,,,,N,,,[N]
1890,HMIS,DHIS,EH DISASTERS OCCURRED,Electronic,District,N,,,,N,,,[N]
1891,HMIS,DHIS,EH DISASTERS RESPONDED TIMELY,Electronic,District,N,,,,N,,,[N]
1892,HMIS,DHIS,EH ENVIRONMENTAL HEALTH HAZARD,Electronic,District,N,,,,N,,,[N]
1893,HMIS,DHIS,EH ENVIRONMENTAL HEALTH HAZARD ASSESSED,Electronic,District,N,,,,N,,,[N]
1894,HMIS,DHIS,EH FOOD BORNE DISEASE OUTBREAK AND CONDITIONS,Electronic,District,N,,,,N,,,[N]
1895,HMIS,DHIS,EH FOOD BORNE DISEASE OUTBREAK AND CONDITIONS INVESTIGATED,Electronic,District,N,,,,N,,,[N]
1896,HMIS,DHIS,EH FOOD CONDEMNED,Electronic,District,N,,,,N,,,[N]
1897,HMIS,DHIS,EH FOOD ESTABLISHMENT COMPLYING MEDICAL EXAMINATION REQUIREMENTS,Electronic,District,N,,,,N,,,[N]
1898,HMIS,DHIS,EH FOOD HANDLERS IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1899,HMIS,DHIS,EH FOOD HANDLERS ROUTINE MEDICAL EXAMINATION,Electronic,District,N,,,,N,,,[N]
1900,HMIS,DHIS,EH FOOD HANDLERS SATISFYING MEDICAL FITNESS,Electronic,District,N,,,,N,,,[N]
1901,HMIS,DHIS,EH FOOD INSPECTED,Electronic,District,N,,,,N,,,[N]
1902,HMIS,DHIS,EH FORMAL FOOD ESTABLISHMENTS IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1903,HMIS,DHIS,EH FORMAL FOOD ESTABLISHMENTS INSPECTED,Electronic,District,N,,,,N,,,[N]
1904,HMIS,DHIS,EH FORMAL FOOD ESTABLISHMENTS SATISFACTORY,Electronic,District,N,,,,N,,,[N]
1905,HMIS,DHIS,EH FUNCTIONAL COORDINATION COMMITTEES,Electronic,District,N,,,,N,,,[N]
1906,HMIS,DHIS,EH HCWM CHAM FACILITIES,Electronic,District,N,,,,N,,,[N]
1907,HMIS,DHIS,EH HCWM CHAM FACILITIES COMPLYING,Electronic,District,N,,,,N,,,[N]
1908,HMIS,DHIS,EH HCWM HEALTH FACILITIES,Electronic,District,N,,,,N,,,[N]
1909,HMIS,DHIS,EH HCWM HEALTH FACILITIES COMPLYING,Electronic,District,N,,,,N,,,[N]
1910,HMIS,DHIS,EH HCWM MOH FACILITIES,Electronic,District,N,,,,N,,,[N]
1911,HMIS,DHIS,EH HCWM MOH FACILITIES COMPLYING,Electronic,District,N,,,,N,,,[N]
1912,HMIS,DHIS,EH HCWM PRIVATE FACILITIES,Electronic,District,N,,,,N,,,[N]
1913,HMIS,DHIS,EH HCWM PRIVATE FACILITIES COMPLYING,Electronic,District,N,,,,N,,,[N]
1914,HMIS,DHIS,EH HEALTH AUDIT PROJECTS ASSESSED,Electronic,District,N,,,,N,,,[N]
1915,HMIS,DHIS,EH HEALTH AUDIT PROJECTS PASSED,Electronic,District,N,,,,N,,,[N]
1916,HMIS,DHIS,EH HEALTH AUDIT PROJECTS UNDERWAY,Electronic,District,N,,,,N,,,[N]
1917,HMIS,DHIS,EH HEALTH FACILITIES IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1918,HMIS,DHIS,EH HEALTH FACILITIES WITH ADEQUATE SANITORY FACILITIES,Electronic,District,N,,,,N,,,[N]
1919,HMIS,DHIS,EH HIA PROJECTS ASSESSED,Electronic,District,N,,,,N,,,[N]
1920,HMIS,DHIS,EH HIA PROJECTS PASSED,Electronic,District,N,,,,N,,,[N]
1921,HMIS,DHIS,EH HIA PROJECTS PROPOSED,Electronic,District,N,,,,N,,,[N]
1922,HMIS,DHIS,EH HIA PROJECTS PROPOSED OR UNDERWAY,Electronic,District,N,,,,N,,,[N]
1923,HMIS,DHIS,EH HOUSEHOLD SAMPLES TESTED COLIFORM NEGATIVE,Electronic,District,N,,,,N,,,[N]
1924,HMIS,DHIS,EH HOUSEHOLD SAMPLES TESTED FOR COLIFORMS,Electronic,District,N,,,,N,,,[N]
1925,HMIS,DHIS,EH HOUSEHOLD SAMPLES WITH RESIDUAL CHLORINE,Electronic,District,N,,,,N,,,[N]
1926,HMIS,DHIS,EH HOUSEHOLDS IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1927,HMIS,DHIS,EH HOUSEHOLDS OWNING AND USING IMPROVED SANITORY FACILITIES,Electronic,District,N,,,,N,,,[N]
1928,HMIS,DHIS,EH HOUSEHOLDS SAMPLED,Electronic,District,N,,,,N,,,[N]
1929,HMIS,DHIS,EH HOUSEHOLDS WITH FUNCTIONING HANDWASHING FACILITIES WITH SOAP,Electronic,District,N,,,,N,,,[N]
1930,HMIS,DHIS,EH KIOSKS IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1931,HMIS,DHIS,EH KIOSKS SHOWED PRESENCE OF CHLORINE,Electronic,District,N,,,,N,,,[N]
1932,HMIS,DHIS,EH KIOSKS TESTED FOR FAECO CONTAMINATION,Electronic,District,N,,,,N,,,[N]
1933,HMIS,DHIS,EH KIOSKS TESTED FOR RESIDIAL FREE CHLORINE,Electronic,District,N,,,,N,,,[N]
1934,HMIS,DHIS,EH KIOSKS TESTED NEGATIVE,Electronic,District,N,,,,N,,,[N]
1935,HMIS,DHIS,EH MARKETS IN DISTRICT,Electronic,District,N,,,,N,,,[N]
1936,HMIS,DHIS,EH MARKETS WITH SANITORY FACILITIES,Electronic,District,N,,,,N,,,[N]
1937,HMIS,DHIS,EH NEW SETTLEMENTS,Electronic,District,N,,,,N,,,[N]
1938,HMIS,DHIS,EH NEW SETTLEMENTS ASSESSED,Electronic,District,N,,,,N,,,[N]
1939,HMIS,DHIS,EH NEW SETTLEMENTS COMPLYING H&S GUIDELINES,Electronic,District,N,,,,N,,,[N]
1940,HMIS,DHIS,EH ODF VILLAGES DIVERSIFYING SANITORY TECHNOLOGY,Electronic,District,N,,,,N,,,[N]
1941,HMIS,DHIS,EH OUTBREAKS OCCURRED,Electronic,District,N,,,,N,,,[N]
1942,HMIS,DHIS,EH OUTBREAKS RESPONDED TIMELY AND PROMPTLY,Electronic,District,N,,,,N,,,[N]
